age,gender,grade_level,study_hours_per_day,uses_ai,ai_usage_time_minutes,ai_tools_used,ai_usage_purpose,ai_dependency_score,ai_generated_content_percentage,ai_prompts_per_week,ai_ethics_score,concept_understanding_score,study_consistency_index,improvement_rate,sleep_hours,social_media_hours,tutoring_hours,class_participation_score,final_score
20,Female,1st Year,2.5,1,170,Unknown,Exam Prep,10,29,56,5,4,9.0,8.1,7.2,1.5,4.6,6,36.8
17,Male,12th,3.4,1,123,Unknown,Notes,4,14,65,1,8,8.5,13.8,7.6,5.1,2.7,6,65.5
24,Male,3rd Year,0.8,0,35,Copilot,Doubt Solving,8,82,8,5,7,2.1,39.1,5.7,0.2,4.0,3,66.3
21,Female,12th,4.4,0,45,ChatGPT+Gemini,Notes,3,74,106,10,5,6.7,25.2,8.2,4.2,2.9,2,69.5
18,Other,3rd Year,3.5,1,21,ChatGPT+Gemini,Coding,2,83,7,10,5,5.4,2.7,8.7,0.2,2.9,2,49.7
20,Male,1st Year,5.1,1,34,Copilot,Coding,10,24,95,6,9,8.0,13.4,5.5,3.7,2.1,4,77.9
23,Female,1st Year,2.0,1,112,ChatGPT+Gemini,Unknown,8,37,57,5,9,9.6,3.7,5.8,1.6,3.4,5,82.2
16,Male,3rd Year,5.5,0,174,ChatGPT,Homework,4,42,70,6,6,4.3,13.2,6.0,0.4,2.5,6,52.7
20,Female,10th,6.0,1,32,Copilot,Unknown,9,29,37,9,9,7.8,18.8,5.4,1.6,4.2,4,81.7
24,Female,1st Year,5.6,0,140,Unknown,Doubt Solving,3,39,19,7,7,2.9,38.5,7.2,0.7,4.6,1,66.7
24,Female,10th,4.8,1,55,Copilot,Homework,9,58,46,5,6,4.8,23.9,8.5,1.3,2.5,8,54.3
21,Male,10th,5.0,0,66,Copilot,Homework,10,22,78,10,2,7.5,21.8,6.1,4.1,1.3,4,50.7
18,Female,3rd Year,3.7,1,12,ChatGPT+Gemini,Coding,6,43,102,9,3,1.8,-14.2,4.9,5.0,2.2,10,44.5
17,Female,10th,1.5,1,49,Copilot,Coding,5,80,27,5,9,8.8,-0.8,5.0,2.6,3.5,3,62.0
21,Male,10th,4.2,1,27,Gemini,Unknown,2,0,94,5,1,9.3,-3.2,7.6,2.5,2.5,8,56.7
21,Male,11th,4.4,0,103,Gemini,Doubt Solving,6,77,59,6,7,8.8,-14.0,7.7,2.8,2.0,8,66.2
16,Male,12th,5.9,1,97,ChatGPT,Coding,4,81,21,8,1,1.0,32.3,6.4,2.8,0.1,8,48.0
19,Male,10th,3.5,1,95,Copilot,Doubt Solving,5,40,103,1,10,8.2,28.8,7.8,1.4,0.9,3,90.6
18,Female,12th,2.0,0,86,Copilot,Notes,6,61,112,9,7,9.1,27.4,6.6,5.9,4.2,7,64.9
15,Male,10th,4.3,1,87,Unknown,Unknown,7,59,50,8,8,9.9,-9.4,5.5,4.0,3.8,8,61.2
21,Male,12th,5.9,1,151,ChatGPT+Gemini,Exam Prep,4,79,23,7,3,1.3,16.0,4.7,4.6,0.4,4,57.0
19,Female,1st Year,1.5,1,124,Unknown,Unknown,8,9,97,5,2,6.1,11.6,6.6,2.7,0.5,4,67.7
15,Male,1st Year,2.3,0,80,Claude,Notes,5,72,72,1,5,8.9,16.8,8.2,4.6,4.7,2,36.8
18,Female,12th,3.5,1,6,Unknown,Coding,7,77,60,7,3,7.6,27.2,8.6,4.1,4.0,1,68.4
14,Male,10th,1.4,1,73,Claude,Exam Prep,6,65,1,9,10,8.7,-14.4,4.3,5.0,2.0,1,76.4
23,Female,11th,0.6,1,82,Copilot,Exam Prep,5,56,108,3,7,7.3,-8.5,8.6,0.3,4.9,1,40.3
19,Female,12th,2.4,0,23,ChatGPT,Unknown,7,41,88,8,10,1.2,-3.1,4.9,0.3,4.9,7,60.3
22,Female,2nd Year,5.3,1,136,Gemini,Unknown,4,53,75,3,2,8.9,8.2,7.0,3.4,5.0,3,29.0
14,Male,11th,0.7,1,113,Copilot,Homework,7,84,54,3,7,6.6,15.1,6.2,2.3,1.9,1,36.4
24,Female,2nd Year,2.9,0,14,Copilot,Exam Prep,3,41,3,7,2,3.2,-1.7,7.5,4.8,2.7,5,47.7
24,Male,12th,4.7,1,112,ChatGPT,Doubt Solving,8,65,114,6,7,7.1,-13.4,6.6,1.0,3.3,6,67.5
23,Male,10th,5.7,1,121,ChatGPT,Coding,10,69,103,5,7,5.6,10.4,5.9,1.5,4.1,1,68.6
16,Male,2nd Year,5.9,0,85,Claude,Coding,4,10,57,7,4,7.5,-16.4,4.4,2.5,1.0,2,57.6
20,Female,12th,2.8,1,144,Copilot,Homework,4,66,12,9,10,5.3,1.8,4.1,5.4,1.6,3,65.7
17,Male,11th,5.7,1,18,Copilot,Unknown,1,10,92,1,3,1.9,-17.4,5.2,0.8,1.8,3,57.0
